epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.198,0.90802,2.91443,1.41164,0.45393,0.15319,0.13706,0.08389,1.61701,3.26203,2.35254,3.27044e-05,3.27044e-05,0.0673283
2,96.011,0.84881,2.06334,1.33979,0.35056,0.46311,0.40946,0.29941,0.85026,1.98231,1.45832,6.47302e-05,6.47302e-05,0.034027
3,157.59,0.83264,1.83121,1.30486,0.41608,0.62038,0.56063,0.42693,0.74417,1.70289,1.31661,9.5436e-05,9.5436e-05,0.000724367
4,213.715,0.8266,1.71787,1.3089,0.4775,0.59776,0.59992,0.46501,0.76483,1.76788,1.30329,9.406e-05,9.406e-05,9.406e-05
5,292.762,0.80218,1.71105,1.30839,0.61269,0.63928,0.66739,0.51002,0.81973,1.51188,1.34025,9.208e-05,9.208e-05,9.208e-05
6,356.802,0.77829,1.50041,1.28064,0.65279,0.53186,0.62613,0.49413,0.78737,1.56923,1.33907,9.01e-05,9.01e-05,9.01e-05
7,444.89,0.74938,1.39617,1.25028,0.70404,0.57232,0.68515,0.53592,0.77777,1.42873,1.34141,8.812e-05,8.812e-05,8.812e-05
8,541.096,0.7851,1.37355,1.27817,0.68934,0.6532,0.72042,0.55838,0.80439,1.27867,1.3587,8.614e-05,8.614e-05,8.614e-05
9,633.675,0.75397,1.26187,1.25721,0.66895,0.6664,0.74741,0.59351,0.76408,1.26166,1.30532,8.416e-05,8.416e-05,8.416e-05
10,739.594,0.73031,1.28061,1.24358,0.72926,0.66084,0.76689,0.63736,0.702,1.21972,1.25377,8.218e-05,8.218e-05,8.218e-05
11,829.872,0.71457,1.18276,1.22215,0.78051,0.66904,0.80265,0.66563,0.66378,1.11508,1.2228,8.02e-05,8.02e-05,8.02e-05
12,934.872,0.71318,1.14756,1.23371,0.75623,0.66328,0.76723,0.62763,0.69357,1.15369,1.24994,7.822e-05,7.822e-05,7.822e-05
13,1027.33,0.67137,1.09125,1.20344,0.74746,0.68159,0.75863,0.61018,0.7609,1.12513,1.3348,7.624e-05,7.624e-05,7.624e-05
14,1119.43,0.68133,1.06492,1.19528,0.73237,0.72131,0.78815,0.64897,0.66323,1.02089,1.22561,7.426e-05,7.426e-05,7.426e-05
15,1207.72,0.69708,1.05284,1.21949,0.79279,0.72155,0.82895,0.66759,0.65443,1.0054,1.21318,7.228e-05,7.228e-05,7.228e-05
16,1299.02,0.66151,0.9844,1.18372,0.78621,0.72994,0.81646,0.66209,0.67331,0.96116,1.22175,7.03e-05,7.03e-05,7.03e-05
17,1356.22,0.6694,0.97894,1.18326,0.78204,0.75425,0.83724,0.70252,0.65517,0.86805,1.19471,6.832e-05,6.832e-05,6.832e-05
18,1430.76,0.63557,0.885,1.16552,0.82202,0.72662,0.84647,0.6925,0.66995,0.87817,1.20819,6.634e-05,6.634e-05,6.634e-05
19,1487.12,0.63122,0.88703,1.17551,0.86086,0.77084,0.85634,0.71189,0.62037,0.87858,1.17144,6.436e-05,6.436e-05,6.436e-05
20,1587.74,0.66189,0.85696,1.17817,0.85177,0.72851,0.83444,0.70434,0.63811,0.84001,1.20081,6.238e-05,6.238e-05,6.238e-05
21,1644.99,0.63608,0.85269,1.16787,0.83388,0.73498,0.85449,0.70686,0.66557,0.83832,1.21108,6.04e-05,6.04e-05,6.04e-05
22,1703.02,0.61496,0.78009,1.14611,0.77144,0.74648,0.8291,0.68033,0.67052,1.02571,1.2256,5.842e-05,5.842e-05,5.842e-05
23,1759.97,0.605,0.80529,1.15243,0.86129,0.77137,0.86773,0.73171,0.63827,0.76368,1.19286,5.644e-05,5.644e-05,5.644e-05
24,1822.51,0.60856,0.78956,1.14822,0.87016,0.74213,0.8597,0.71662,0.65754,0.79874,1.21244,5.446e-05,5.446e-05,5.446e-05
25,1878.71,0.60685,0.75295,1.15259,0.85658,0.79852,0.87856,0.72959,0.66759,0.75529,1.22952,5.248e-05,5.248e-05,5.248e-05
26,1935.16,0.61149,0.76331,1.14899,0.84295,0.77192,0.85778,0.72277,0.64173,0.7875,1.20446,5.05e-05,5.05e-05,5.05e-05
27,1991.57,0.57311,0.70986,1.12242,0.7744,0.80761,0.8593,0.71738,0.66197,0.79419,1.21496,4.852e-05,4.852e-05,4.852e-05
28,2042.53,0.60105,0.71063,1.13772,0.86048,0.8095,0.86226,0.72805,0.62991,0.74623,1.19782,4.654e-05,4.654e-05,4.654e-05
29,2100.5,0.58329,0.69571,1.12507,0.88739,0.7781,0.88565,0.74683,0.61056,0.69519,1.16707,4.456e-05,4.456e-05,4.456e-05
30,2160.77,0.55787,0.69581,1.11888,0.89903,0.7983,0.8972,0.74708,0.65439,0.65613,1.20114,4.258e-05,4.258e-05,4.258e-05
31,2261.57,0.55896,0.64723,1.10267,0.86215,0.757,0.85945,0.71439,0.64985,0.73334,1.22593,4.06e-05,4.06e-05,4.06e-05
32,2349.26,0.56844,0.65337,1.1213,0.84897,0.83683,0.88011,0.72856,0.64193,0.69924,1.20246,3.862e-05,3.862e-05,3.862e-05
33,2405.58,0.55267,0.65523,1.10558,0.85993,0.78552,0.86108,0.70762,0.65499,0.737,1.21782,3.664e-05,3.664e-05,3.664e-05
34,2463.28,0.55829,0.61372,1.10985,0.84751,0.78879,0.87609,0.74783,0.60398,0.72796,1.16199,3.466e-05,3.466e-05,3.466e-05
35,2531.29,0.55322,0.59835,1.09778,0.8962,0.80813,0.90383,0.75726,0.6259,0.6555,1.18091,3.268e-05,3.268e-05,3.268e-05
36,2619.45,0.52534,0.57,1.09756,0.87874,0.80862,0.88664,0.74977,0.62232,0.68416,1.17278,3.07e-05,3.07e-05,3.07e-05
37,2676.09,0.51983,0.56427,1.0878,0.85575,0.83842,0.90038,0.75786,0.6249,0.67497,1.16476,2.872e-05,2.872e-05,2.872e-05
38,2744.28,0.52984,0.58839,1.08641,0.87029,0.83058,0.88289,0.75133,0.62354,0.70458,1.17511,2.674e-05,2.674e-05,2.674e-05
39,2800.67,0.51268,0.53399,1.08284,0.90234,0.78724,0.88812,0.75307,0.62382,0.66889,1.18337,2.476e-05,2.476e-05,2.476e-05
40,2894.54,0.50532,0.51211,1.081,0.86464,0.83297,0.89437,0.75591,0.63427,0.66488,1.19815,2.278e-05,2.278e-05,2.278e-05
41,2953.69,0.36238,0.36653,0.97537,0.85108,0.81553,0.87113,0.73425,0.65101,0.67338,1.25189,2.08e-05,2.08e-05,2.08e-05
42,3009.28,0.3662,0.31556,0.9845,0.82906,0.82617,0.87769,0.7504,0.61014,0.66996,1.17786,1.882e-05,1.882e-05,1.882e-05
43,3067.59,0.32405,0.29035,0.94841,0.87203,0.82832,0.88433,0.75602,0.61886,0.64365,1.17651,1.684e-05,1.684e-05,1.684e-05
44,3161.78,0.34048,0.28615,0.95577,0.8905,0.81407,0.89526,0.76099,0.60895,0.61412,1.17959,1.486e-05,1.486e-05,1.486e-05
45,3266.04,0.33305,0.28118,0.96895,0.90201,0.80289,0.8964,0.7716,0.60539,0.57889,1.16409,1.288e-05,1.288e-05,1.288e-05
46,3333.76,0.31383,0.26045,0.9471,0.89982,0.8192,0.89569,0.7619,0.61259,0.62216,1.16665,1.09e-05,1.09e-05,1.09e-05
47,3390.49,0.31787,0.26511,0.93356,0.90467,0.80431,0.89224,0.76374,0.58898,0.61672,1.14555,8.92e-06,8.92e-06,8.92e-06
48,3479.68,0.3177,0.26488,0.94806,0.88527,0.80817,0.89155,0.76713,0.60299,0.62535,1.1702,6.94e-06,6.94e-06,6.94e-06
49,3536.55,0.31555,0.253,0.94293,0.87739,0.82416,0.89381,0.76803,0.60361,0.60948,1.18238,4.96e-06,4.96e-06,4.96e-06
50,3593.82,0.3129,0.24992,0.94072,0.88462,0.84188,0.89667,0.77066,0.59219,0.59155,1.17022,2.98e-06,2.98e-06,2.98e-06
